nome_municipio;id_municipio;dist_base_atendimento_km;score_final_medio
Águas Vermelhas;3101003;552.1325955738539;0.23185219040206714
Aracruz;3200607;410.6489172214578;0.26048233367571155
Domingos Martins;3201902;372.22423039286485;0.24425095906691086
Governador Lindenberg;3202256;402.6926278731136;0.2284317811644655
Jerônimo Monteiro;3203106;306.77246567513504;0.26089475543640583
Marataízes;3203320;369.9513960531107;0.27977971257290885
Pancas;3204005;360.27355500746944;0.2378100374877613
Rio Novo do Sul;3204401;354.00897100368667;0.24679381387170288
Santa Maria de Jetibá;3204559;361.26940353209676;0.24814457565955875
São Mateus;3204906;476.2025861893254;0.21707702804051526
Angra dos Reis;3300100;261.4109634609724;0.3140483616877384
Itaperuna;3302205;277.77594451522816;0.2908114073832115
Mendes;3302809;232.6319123576208;0.3066913617704318
Nilópolis;3303203;275.66201501414093;0.2826738645095202
Nova Friburgo;3303401;296.05080509765884;0.2821073379293888
Silva Jardim;3305604;332.6382910898253;0.25446808754633893
Altinópolis;3501004;266.58166197964374;0.29297105588914973
Analândia;3502002;333.6175081042181;0.26482927471772805
Anhembi;3502309;413.18646248341025;0.22609089752515515
Aparecida d'Oeste;3502606;630.8661175831269;0.18737071176306158
Ariranha;3503703;414.9539267868841;0.2662108996188589
Bariri;3505203;433.18023011176933;0.2381851267497822
Barra do Turvo;3505401;587.9133415358968;0.20144745674857728
Birigui;3506508;576.1972729875337;0.2030536451661276
Cafelândia;3508801;510.37000623611584;0.21318230850164874
Caiuá;3509106;753.3123079283258;0.1580062485181838
Cananéia;3509908;575.7529373491775;0.19378148097506714
Canas;3509957;223.81324469002547;0.3338727231305618
Cândido Mota;3510005;617.6428927581665;0.20391465535287584
Dumont;3514601;332.0714983855717;0.2628873873851429
Franca;3516200;268.5885933653858;0.30889623735427046
Gastão Vidigal;3516804;557.6645537316625;0.1892223602852088
Guapiara;3517604;543.3647364102482;0.19361843285730918
Guariba;3518602;360.71637917691265;0.2552039200333279
Gália;3516606;519.5901662105924;0.20559547489505434
Ibaté;3519303;355.95515153731355;0.2577728919357404
Igarapava;3520103;312.7933557781572;0.2828286625083975
Iracemápolis;3521408;348.50015188528204;0.2919188360569953
Itapecerica da Serra;3522208;395.2101243715269;0.25029436417689355
Itatiba;3523404;330.227765738674;0.28149151512577464
Itatinga;3523503;473.4856250056266;0.21085342549918856
Itobi;3523800;250.27306847652352;0.29594734509636056
Jaborandi;3524204;372.6188472810192;0.23664992885197897
Joanópolis;3525508;289.2605069258728;0.27651197881352035
Lindóia;3527009;276.7458270826113;0.2920716806589749
Lorena;3527207;228.28741079829607;0.33081327858731796
Luís Antônio;3527603;320.4075142595033;0.3092060516149398
Mococa;3530508;241.06197840915343;0.3197454510368483
Mongaguá;3531100;419.0684002567841;0.22904930186958813
Monte Alto;3531308;386.0081576658297;0.2499568279620575
Nova Guataporanga;3533106;710.9051578526445;0.1668643928960821
Nova Odessa;3533403;344.3318363929081;0.27953231587664606
Novo Horizonte;3533502;463.81723281419676;0.2283439511736911
Osasco;3534401;374.4069645106717;0.3035098857341949
Osvaldo Cruz;3534609;638.7681615895576;0.19554288484481008
Ourinhos;3534708;578.7642466667129;0.21325674375242198
Paranapanema;3535804;500.22871959272015;0.21626071719855566
Pedra Bela;3536802;286.32465765517674;0.2727525725503532
Pirassununga;3539301;305.19217743603053;0.28827322445638776
Potim;3540754;241.5660802868012;0.29932362147818375
Ribeirão Grande;3543253;524.8554688976999;0.2047695223370469
Sabino;3544608;499.66670263029334;0.2032217504817268
Salmourão;3545100;633.9518018170104;0.17636399163564337
Salto de Pirapora;3545308;432.92795308094173;0.24024424769804678
Santa Mercedes;3547106;722.5906404208986;0.16840614111901991
Santa Rosa de Viterbo;3547601;276.730029866635;0.29123531481837006
Sete Barras;3551801;518.6725429842893;0.1981290505596506
São Carlos;3548906;348.8979406961592;0.27995320934853674
São José dos Campos;3549904;297.63327450463396;0.3225184715675159
São Miguel Arcanjo;3550209;480.619274219507;0.20805954234712726
Tapiratiba;3553609;216.5550678175932;0.3271377405564577
Taquarituba;3553807;552.8953931938897;0.22356002802608593
Trabiju;3554755;392.3671315890415;0.22589871215350144
Três Fronteiras;3554904;633.5274394916773;0.17887924253929469
Tuiuti;3554953;304.47542182806495;0.2668828997442789
Ubatuba;3555406;305.2456668637028;0.27790404651364303
Uru;3555901;477.36933231638227;0.20966721133881194
Vera Cruz;3556602;543.4864681006924;0.1964934606458425
Álvares Florence;3501202;531.2392268811443;0.1963266085257559
Álvares Machado;3501301;704.6131643342583;0.1818745732204662
Belo Horizonte;3106200;29.344915606989225;0.7861184634032532
Carmópolis de Minas;3114501;26.91749758420211;0.7120847391712831
Santo Antônio do Amparo;3159902;28.735923731261604;0.6939721654384885
São Gonçalo do Pará;3161809;68.83843709542681;0.5457202546113168
Três Corações;3169307;118.86475339505105;0.44568538612168257
Aimorés;3101102;331.27609491301973;0.25944538935911265
Alagoa;3101300;164.91612243179108;0.3619979985681133
Almenara;3101706;561.0488356368093;0.1935144186084414
Alvorada de Minas;3102407;162.8501902578467;0.3638372353665671
