ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1997;REGIÃO SUDESTE;MG;GASOLINA C;3147304;PARAISOPOLIS                  ;2295450
1997;REGIÃO SUDESTE;MG;GASOLINA C;3147908;PASSOS                        ;13729340
1997;REGIÃO SUDESTE;MG;GASOLINA C;3156907;SACRAMENTO                    ;3760180
1997;REGIÃO SUDESTE;MG;GASOLINA C;3164403;SAO SEBASTIAO DA BELA VISTA   ;558000
1997;REGIÃO SUDESTE;MG;GASOLINA C;3165574;SENADOR AMARAL                ;552770
1997;REGIÃO SUDESTE;MG;GASOLINA C;3169103;TOLEDO                        ;426000
1997;REGIÃO SUDESTE;MG;GASOLINA C;3169308;TRES CORACOES                 ;8790890
1997;REGIÃO SUDESTE;MG;GASOLINA C;3169405;TRES PONTAS                   ;5725400
1997;REGIÃO SUDESTE;MG;GASOLINA C;3170705;VARGINHA                      ;17185110
1997;REGIÃO SUDESTE;RJ;GASOLINA C;3303802;PARATI                        ;5041500
1997;REGIÃO SUDESTE;SP;GASOLINA C;3501906;AMPARO                        ;13933890
1997;REGIÃO SUDESTE;SP;GASOLINA C;3505707;BARUERI                       ;53281316
1997;REGIÃO SUDESTE;SP;GASOLINA C;3508005;BURI                          ;1684150
1997;REGIÃO SUDESTE;SP;GASOLINA C;3518701;GUARUJA                       ;31350850
1997;REGIÃO SUDESTE;SP;GASOLINA C;3518809;GUARULHOS                     ;160960424
1997;REGIÃO SUDESTE;SP;GASOLINA C;3525503;JOANOPOLIS                    ;1526000
1997;REGIÃO SUDESTE;SP;GASOLINA C;3535606;PARAIBUNA                     ;3502350
1997;REGIÃO SUDESTE;SP;GASOLINA C;3536807;PEDRA BELA                    ;570500
1997;REGIÃO SUDESTE;SP;GASOLINA C;3541002;PRAIA GRANDE                  ;25470540
1997;REGIÃO SUDESTE;SP;GASOLINA C;3542602;REGISTRO                      ;8889987
1997;REGIÃO SUDESTE;SP;GASOLINA C;3543307;RIBEIRAO PIRES                ;23036607
1997;REGIÃO SUDESTE;SP;GASOLINA C;3545300;SALTO DE PIRAPORA             ;3318480
1997;REGIÃO SUDESTE;SP;GASOLINA C;3548503;SANTOS                        ;100018074
1997;REGIÃO SUDESTE;SP;GASOLINA C;3548600;SAO BENTO DO SAPUCAI          ;1428000
1997;REGIÃO SUDESTE;SP;GASOLINA C;3550109;SAO MANUEL                    ;8004816
1997;REGIÃO SUDESTE;SP;GASOLINA C;3551105;SARAPUI                       ;573000
1997;REGIÃO SUDESTE;SP;GASOLINA C;3552209;SOROCABA                      ;97020026
1997;REGIÃO SUDESTE;SP;GASOLINA C;3552403;SUMARE                        ;36696290
1997;REGIÃO SUDESTE;SP;GASOLINA C;3505502;BARRETOS                      ;18962110
1997;REGIÃO SUDESTE;SP;GASOLINA C;3506002;BAURU                         ;78590966
1997;REGIÃO SUDESTE;SP;GASOLINA C;3530604;MOJI DAS CRUZES               ;57096215
1997;REGIÃO SUDESTE;SP;GASOLINA C;3549909;SAO JOSE DOS CAMPOS           ;118257453
1997;REGIÃO SUDESTE;SP;GASOLINA C;3551008;SAO VICENTE                   ;32249598
1997;REGIÃO CENTRO-OESTE;GO;GASOLINA C;5214050;MUNDO NOVO                    ;850000
1997;REGIÃO CENTRO-OESTE;GO;GASOLINA C;5219302;SANTA HELENA DE GOIAS         ;3484880
