ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
2001;REGIÃO SUDESTE;SP;ETANOL;3525003;JANDIRA;2530100
2001;REGIÃO SUL;SC;ETANOL;4208955;JARDINOPOLIS;2646160
2001;REGIÃO SUDESTE;SP;ETANOL;3525201;JARINU;910000
2001;REGIÃO SUDESTE;SP;ETANOL;3525300;JAU;4534883
2001;REGIÃO SUDESTE;SP;ETANOL;3525409;JERIQUARA;164000
2001;REGIÃO SUDESTE;SP;ETANOL;3525508;JOANOPOLIS;203000
2001;REGIÃO SUDESTE;SP;ETANOL;3525607;JOAO RAMALHO;10000
2001;REGIÃO SUDESTE;SP;ETANOL;3525706;JOSE BONIFACIO;901895
2001;REGIÃO SUDESTE;SP;ETANOL;3525805;JULIO MESQUITA;39000
2001;REGIÃO SUDESTE;SP;ETANOL;3525854;JUMIRIM;115000
2001;REGIÃO SUDESTE;SP;ETANOL;3525904;JUNDIAI;22795366
2001;REGIÃO SUDESTE;SP;ETANOL;3526001;JUNQUEIROPOLIS;355000
2001;REGIÃO SUDESTE;SP;ETANOL;3526100;JUQUIA;427000
2001;REGIÃO SUDESTE;SP;ETANOL;3526209;JUQUITIBA;563932
2001;REGIÃO SUDESTE;SP;ETANOL;3526308;LAGOINHA;105000
2001;REGIÃO SUDESTE;SP;ETANOL;3526407;LARANJAL PAULISTA;1065000
2001;REGIÃO SUDESTE;SP;ETANOL;3526506;LAVINIA;52100
2001;REGIÃO SUDESTE;SP;ETANOL;3526605;LAVRINHAS;45000
2001;REGIÃO SUDESTE;SP;ETANOL;3526704;LEME;3895000
2001;REGIÃO SUDESTE;SP;ETANOL;3526803;LENCOIS PAULISTA;3115956
2001;REGIÃO SUDESTE;SP;ETANOL;3526902;LIMEIRA;18156541
2001;REGIÃO SUDESTE;SP;ETANOL;3527009;LINDOIA;516985
2001;REGIÃO SUDESTE;SP;ETANOL;3527108;LINS;1475324
2001;REGIÃO SUDESTE;SP;ETANOL;3527207;LORENA;3216330
2001;REGIÃO SUDESTE;SP;ETANOL;3527306;LOUVEIRA;1042840
2001;REGIÃO SUDESTE;SP;ETANOL;3527405;LUCELIA;589000
2001;REGIÃO SUDESTE;SP;ETANOL;3527504;LUCIANOPOLIS;5000
2001;REGIÃO SUDESTE;SP;ETANOL;3527603;LUIS ANTONIO;575100
2001;REGIÃO SUDESTE;SP;ETANOL;3527702;LUIZIANIA;116400
2001;REGIÃO SUDESTE;SP;ETANOL;3527801;LUPERCIO;32000
2001;REGIÃO SUDESTE;SP;ETANOL;3527900;LUTECIA;30000
2001;REGIÃO SUDESTE;SP;ETANOL;3528007;MACATUBA;548400
2001;REGIÃO SUDESTE;SP;ETANOL;3528106;MACAUBAL;104000
2001;REGIÃO SUDESTE;SP;ETANOL;3528205;MACEDONIA;49000
2001;REGIÃO SUDESTE;SP;ETANOL;3528304;MAGDA;25000
2001;REGIÃO SUDESTE;SP;ETANOL;3528403;MAIRINQUE;471897
2001;REGIÃO SUDESTE;SP;ETANOL;3528502;MAIRIPORA;1436900
2001;REGIÃO SUDESTE;SP;ETANOL;3528601;MANDURI;387900
2001;REGIÃO SUDESTE;SP;ETANOL;3528700;MARABA PAULISTA;8000
2001;REGIÃO SUDESTE;SP;ETANOL;3528809;MARACAI;362000
2001;REGIÃO SUDESTE;SP;ETANOL;3528858;MARAPOAMA;6000
2001;REGIÃO SUDESTE;SP;ETANOL;3528908;MARIAPOLIS;115000
2001;REGIÃO SUDESTE;SP;ETANOL;3529005;MARILIA;9494573
2001;REGIÃO SUDESTE;SP;ETANOL;3529104;MARINOPOLIS;35000
2001;REGIÃO SUDESTE;SP;ETANOL;3529203;MARTINOPOLIS;227500
2001;REGIÃO SUDESTE;SP;ETANOL;3529302;MATAO;2886400
2001;REGIÃO SUDESTE;SP;ETANOL;3529401;MAUA;6726881
2001;REGIÃO SUDESTE;SP;ETANOL;3529500;MENDONCA;55000
2001;REGIÃO SUDESTE;SP;ETANOL;3529609;MERIDIANO;65000
