ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1502301;CAPITAO POCO;2221784
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1502400;CASTANHAL;12007174
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1502707;CONCEICAO DO ARAGUAIA;5157247
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1502756;CONCORDIA DO PARA;105441
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1502806;CURRALINHO;59574
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1502772;CURIONOPOLIS;679517
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1502905;CURUCA;405320
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1502939;DOM ELISEU;6717316
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1503002;FARO;896020
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1503077;GARRAFAO DO NORTE;49000
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1503101;GURUPA;248403
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1503200;IGARAPE-ACU;1360797
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1503309;IGARAPE-MIRI;2411300
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1503408;INHANGAPI;195288
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1503507;IRITUIA;8995365
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1503606;ITAITUBA;85420415
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1503705;ITUPIRANGA;1440074
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1503804;JACUNDA;4558716
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1503903;JURUTI;382758
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1504000;LIMOEIRO DO AJURU;769500
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1504109;MAGALHAES BARATA;15200
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1504208;MARABA;70465251
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1504307;MARACANA;330200
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1504406;MARAPANIM;60964
