id_municipio;cresc_linear_vol_vendido;cagr_vol_vendido_3a;cagr_vol_vendido_9a;cresc_linear_frota;cagr_frota_3a;cagr_frota_9a;base_atendimento;dist_base_atendimento_km;dist_referencia_km;score_final_medio
3148905;139999.6428571437;0.052693066877016914;0.06220978688113998;91.9515151515152;0.043126113374433395;0.04380973172556235;3145604;63.20907840886593;93.09462065238024;0.5614363103366375
3149606;-2407.142857142874;-0.05239620903569342;-0.014095555545469818;139.6060606060606;0.0889545644454166;0.04903194439717362;3106705;61.05745701408181;93.09462065238024;0.5598902417271739
3150158;150420.4999999993;0.10743405345025314;0.012575577505430369;285.18181818181813;0.07982165656711881;0.07004564239063016;3106705;223.44549193147162;93.09462065238024;0.3094911537968474
3151503;132646.66428571384;0.020214573530785485;0.017070571960590364;901.9939393939391;0.03393022409610613;0.037949042194908245;3145604;120.1778299188915;93.09462065238024;0.4376741002874575
3151701;163929.00714285817;0.05548093881604155;0.010161552040971689;458.9878787878787;0.037044023807358384;0.04001141681274101;3145604;168.37710328955956;93.09462065238024;0.36621729895525507
3152204;264184.3464285719;0.048420220372996425;0.037865764701731086;949.642424242424;0.06022348187926907;0.05044783060520075;3106705;486.05887062150885;93.09462065238024;0.20213920341182734
3153400;419850.98928571073;-0.017112625397340597;0.034486117805669236;482.1212121212121;0.04953843169223182;0.04978943831525773;3106705;290.03422724909353;93.09462065238024;0.275546439302143
3154457;-32070.40714285706;0.02292301219122561;-0.005662049856867579;78.24848484848485;0.017257257230748113;0.03101962851355089;3106705;456.8772165769704;93.09462065238024;0.2088598434993045
3156106;77678.57142857139;0.048156920380290735;0.1253281327689164;73.93939393939394;0.029428498400178693;0.039383014597690336;3145604;64.29811742683941;93.09462065238024;0.55122024598436
3156304;236092.14285714304;0.15371446265267208;0.08348447287235672;174.90303030303025;0.0356914908109931;0.04268301486255144;3106705;196.035320247169;93.09462065238024;0.35770727698351723
3156452;171840.34999999855;-0.4013675296389495;0.002937413049156179;77.36969696969697;0.026425871038068927;0.032651244209145336;3106705;209.0455376932675;93.09462065238024;0.3194154357596725
3156502;-18206.964285714264;0.08777897288206904;-0.02415480861181818;39.79393939393941;0.05505307479928301;0.03746286203399052;3106705;445.8777239619945;93.09462065238024;0.20999811158554188
3156601;19700.71428571429;-0.03381564349011579;0.01332484532605216;105.98787878787878;0.03927093873671783;0.05010596050365046;3106705;555.7231151389291;93.09462065238024;0.18515439072570922
3157203;566906.5464285733;-0.1000044623619829;-0.009713021859034221;537.2181818181818;0.03728174455241251;0.03651804442541229;3106705;82.64156853786781;93.09462065238024;0.5206173487106605
3157336;21740.000000000044;0.030761890905233846;-0.04909434768236409;149.97575757575757;0.03974264040331499;0.04123899111766849;3145604;79.00394241240356;93.09462065238024;0.5126088829509451
3157708;1528911.3964285746;-0.10052172394473546;0.03146884558869956;500.22424242424245;0.064420526550385;0.060914181721363425;3145604;321.82103093263777;93.09462065238024;0.2829539466054013
