ANO;UF;ID_MUNICIPIO;COMBUSTIVEL;VOLUME_VENDAS_M3
2010;31;3107802;DIESEL;1591000.0
2010;31;3107802;ETANOL;150000.0
2010;31;3107802;GASOLINA;1047500.0
2010;31;3107901;DIESEL;1751000.0
2010;31;3107901;ETANOL;238000.0
2010;31;3107901;GASOLINA;1545000.0
2010;31;3108008;DIESEL;1560000.0
2010;31;3108008;ETANOL;445000.0
2010;31;3108008;GASOLINA;2065000.0
2010;31;3108107;DIESEL;470000.0
2010;31;3108107;ETANOL;80000.0
2010;31;3108107;GASOLINA;673000.0
2010;31;3108206;DIESEL;4789000.0
2010;31;3108206;ETANOL;130000.0
2010;31;3108206;GASOLINA;945000.0
2010;31;3108255;DIESEL;420000.0
2010;31;3108255;ETANOL;25000.0
2010;31;3108255;GASOLINA;330000.0
2010;31;3108305;DIESEL;8194000.0
2010;31;3108305;ETANOL;983000.0
2010;31;3108305;GASOLINA;3138000.0
2010;31;3108404;DIESEL;1430120.0
2010;31;3108404;ETANOL;835000.0
2010;31;3108404;GASOLINA;2610000.0
2010;31;3108503;DIESEL;155000.0
2010;31;3108503;GASOLINA;160000.0
2010;31;3108552;DIESEL;5279000.0
2010;31;3108552;ETANOL;440924.0
2010;31;3108552;GASOLINA;2120250.0
2010;31;3108602;DIESEL;2901000.0
2010;31;3108602;ETANOL;694000.0
2010;31;3108602;GASOLINA;3268500.0
2010;31;3108701;DIESEL;221000.0
2010;31;3108701;ETANOL;60000.0
2010;31;3108701;GASOLINA;364000.0
2010;31;3108800;DIESEL;235000.0
2010;31;3108800;ETANOL;30000.0
2010;31;3108800;GASOLINA;350000.0
2010;31;3108909;DIESEL;765000.0
2010;31;3108909;ETANOL;365000.0
2010;31;3108909;GASOLINA;1525000.0
2010;31;3109006;DIESEL;31890000.0
2010;31;3109006;ETANOL;800000.0
2010;31;3109006;GASOLINA;4054105.0
2010;31;3109105;DIESEL;1429000.0
2010;31;3109105;ETANOL;381450.0
2010;31;3109105;GASOLINA;1646000.0
2010;31;3109204;DIESEL;1978000.0
2010;31;3109204;ETANOL;331000.0
2010;31;3109204;GASOLINA;1590000.0
2010;31;3109253;DIESEL;121000.0
2010;31;3109253;ETANOL;33000.0
2010;31;3109253;GASOLINA;248000.0
2010;31;3109303;DIESEL;5998000.0
2010;31;3109303;ETANOL;368000.0
2010;31;3109303;GASOLINA;1330000.0
2010;31;3109402;DIESEL;6454000.0
2010;31;3109402;ETANOL;437000.0
2010;31;3109402;GASOLINA;1723000.0
2010;31;3109451;DIESEL;962500.0
2010;31;3109451;ETANOL;162500.0
2010;31;3109451;GASOLINA;692500.0
2010;31;3109501;DIESEL;1055000.0
2010;31;3109501;ETANOL;508060.0
2010;31;3109501;GASOLINA;1737030.0
2010;31;3109600;DIESEL;364000.0
2010;31;3109600;ETANOL;120000.0
2010;31;3109600;GASOLINA;348000.0
2010;31;3109709;DIESEL;831000.0
2010;31;3109709;ETANOL;353000.0
2010;31;3109709;GASOLINA;1391000.0
2010;31;3109808;DIESEL;220000.0
2010;31;3109808;ETANOL;75000.0
2010;31;3109808;GASOLINA;245000.0
2010;31;3109907;DIESEL;15840000.0
2010;31;3109907;ETANOL;440000.0
2010;31;3109907;GASOLINA;2945000.0
2010;31;3110004;DIESEL;6608344.0
2010;31;3110004;ETANOL;1271000.0
2010;31;3110004;GASOLINA;6248000.0
2010;31;3110103;DIESEL;344000.0
2010;31;3110103;ETANOL;77000.0
2010;31;3110103;GASOLINA;681000.0
2010;31;3110202;DIESEL;577000.0
2010;31;3110202;ETANOL;18000.0
2010;31;3110202;GASOLINA;127000.0
2010;31;3110301;DIESEL;3529000.0
2010;31;3110301;ETANOL;1240090.0
2010;31;3110301;GASOLINA;4388000.0
2010;31;3110400;DIESEL;322000.0
2010;31;3110400;ETANOL;29000.0
2010;31;3110400;GASOLINA;234000.0
2010;31;3110509;DIESEL;6650000.0
2010;31;3110509;ETANOL;1424000.0
2010;31;3110509;GASOLINA;4210000.0
2010;31;3110608;DIESEL;3053000.0
2010;31;3110608;ETANOL;1299000.0
