ano;id_municipio;pib;pib_per_capita;vab_total;vab_agropecuaria;vab_industria;vab_servicos;vab_adm_publica;atividade_1;atividade_2;atividade_3
2017;3136900;164668.556;15923.85;153591.445;29815.793;22915.535;58087.81;42772.307;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3136959;50146.006;8557.34;48308.325;7278.779;2230.9;12955.834;25842.811;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3137007;113162.332;6234.15;110645.731;16655.384;2686.039;24867.248;66437.059;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3137106;262614.887;33690.17;251560.836;43595.181;109823.096;64534.303;33608.257;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3137205;1631757.97;31867.78;1417955.229;47477.492;415604.619;752265.225;202607.892;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas
2017;3137304;44678.149;10517.45;43118.826;7371.3;4379.321;10528.826;20839.38;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3137403;202054.79;15476.01;188740.628;55251.708;8545.842;72152.369;52790.709;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3137502;333813.631;18366.64;314408.346;97410.003;31419.685;109117.911;76460.747;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
2017;3137536;227765.411;24127.69;209350.701;61641.283;39834.578;67628.468;40246.373;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
2017;3137601;1661190.981;26901.01;1414556.608;2969.21;272218.295;860644.391;278724.713;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3137700;313282.93;15431.9;281032.181;47927.477;12957.986;138944.356;81202.361;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3137809;333522.927;15980.97;303747.774;25070.287;33666.844;162086.703;82923.941;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3137908;40215.816;11496.8;38308.204;6846.465;1600.997;12459.822;17400.92;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;3138005;75712.055;11049.63;71836.122;11010.82;6457.18;25428.326;28939.796;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3138104;111960.362;16800.77;105493.692;42176.811;3623.391;26465.754;33227.736;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços
2017;3138203;2486305.628;24345.95;2193532.797;73841.516;426352.05;1273382.942;419956.289;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3138302;38516.905;11671.79;37171.491;6858.519;2558.032;10764.819;16990.122;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3138351;50545.955;10113.24;48272.185;6579.731;2385.183;15371.116;23936.156;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;3138401;1038955.431;19472.87;928857.226;46143.294;116659.823;556181.245;209872.865;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3138500;81899.527;15464.41;76960.156;18266.179;6217.689;29391.444;23084.844;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3138609;250861.12;14835.08;232959.351;28183.81;25082.771;111115.323;68577.447;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3138625;342568.035;45755.05;320638.273;122834.04;77746.571;79222.134;40835.527;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Indústrias de transformação
2017;3138658;65128.17;7201.26;62590.791;2442.715;2453.466;20462.147;37232.463;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;3138674;81966.67;12789.31;79889.534;32926.184;3020.591;15396.491;28546.269;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;3138682;48543.326;7185.22;46926.742;4748.828;1724.436;12390.452;28063.026;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3138708;102200.837;18341.86;98221.719;39223.266;4413.754;28766.763;25817.937;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;3138807;487070.293;26471.21;444492.357;95506.505;41608.249;230096.781;77280.822;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3138906;74520.906;10297.21;70622.702;8793.537;8181.444;24207.717;29440.004;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3139003;962259.924;22954.67;869758.703;134217.15;174084.492;396428.584;165028.478;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;3139102;156661.093;30401.92;149522.765;71347.66;17711.529;37458.813;23004.763;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3139201;181489.724;9473.81;172153.281;16010.376;14197.376;65354.124;76591.405;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;3139250;47992.864;7245.3;46121.054;2703.749;2148.609;12965.222;28303.473;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3139300;187799.643;9694.39;177341.764;17594.633;8389.797;72085.15;79272.184;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;3139409;2386663.58;26943.59;2104213.091;108383.031;408730.036;1234952.727;352147.297;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social
2017;3139508;448202.47;19671.81;394677.721;30040.466;13268.422;258216.827;93152.005;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social
2017;3139607;376868.388;13396.43;349929.33;14600.78;33054.797;185867.884;116405.868;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3139706;115233.522;14630.97;105752.787;11656.666;21416.29;38757.368;33922.464;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
